Group Name,Ward,Total Member Count,Total_Members_Paid,Total_Amount_Paid
ASEMBO UNITED,East Asembo,16,8,1200
ASEWUOK WOMEN,Kanyamwa Kosewe,4,2,200
ASIRO JONYUKA MOYIE,Siaya Township,5,1,100
ASIRO SISTERS,Siaya Township,5,3,600
ASIRO WOMEN,Central Alego,6,5,500
ASUBUI NA MAPEMA,Mabatini,20,4,500
ASWEETO,Central Alego,6,2,200
ASWEKRA,Central Kanyamkago,2,2,300
ATA,Kayole North,6,4,400
ATA ,Kayole North,2,1,100
ATONO,West Kasipul,5,1,100
ATORA SHINERS W GROUP,Kendu Bay Town,6,3,1000
AUGI WOMEN GROUP,Kolwa East,5,1,100
AUSI DEVELOP,North Uyoma,5,3,300
AVAYANJANA,Laini Saba,40,17,4000
AWACH,Kokwanyo/Kakelo,7,2,200
AWANGTAR SHG A,West Gem,6,6,600
AWANGTAR SHG B,West Gem,5,2,200
AWARO VSLA,West Sakwa,4,3,300
AWENDO CBD,South Sakwa,4,3,300
AWENDO EXODUS,South Sakwa,6,5,500
AWENDO JUDEA,South Sakwa,3,2,300
AWENDO YOUNG B,Central Sakwa,3,1,100
AWENDO YOUNG C,Central Sakwa,4,2,200
AWIM WOMEN GROUP,North Alego,1,1,200
AWIMBO A,Yala Township,10,5,500
AWIMBO B,Yala Township,6,4,400
AWIMBO C,Yala Township,8,4,400
AWIMBO D,Yala Township,8,7,900
AWIMBO E,Yala Township,5,2,200
AWIMBO H,Yala Township,2,1,100
AWIMBO J,Yala Township,2,1,1100
AWUODI SHG,South Sakwa,5,4,400
AYIETA,Huruma,8,3,300
AYUD KANYE SHG,West Gem,2,1,100
AZIMIO,Kabuoch North,20,1,100
AZIMIO,West Asembo,20,1,100
Abach,Huruma,7,2,200
Abakhaye ,Utalii,28,3,300
Abanana Group,Nyayo Highrise,13,10,1000
Abeingo Women,Utalii,21,1,100
Abib Joy,Viwandani,2,1,100
Abiding,Gatina,12,3,300
Able By Faith 1,Pumwani,16,11,1300
Able By Faith 2,Pumwani,15,8,800
Able By Faith 3,Pumwani,11,7,1300
Able By Faith 4,Pumwani,17,14,1400
Able By Faith 5,Pumwani,13,5,500
Abudhabi,Kabiro,19,3,700
Abwano,Mugumu-Ini,1,1,100
Acacia SHG,Embakasi,5,2,200
Achae Rach Siungu,West Yimbo,1,1,200
Achaya rach,Lindi,4,1,100
Achaye rach,Lindi,10,2,200
