Group Name,Ward,Total Member Count,Total_Members_Paid,Total_Amount_Paid
MALUNGA CENTRAL C,West Gem,5,3,300
MALUNGA EAST A,West Gem,6,2,200
MALUNGA EAST B,West Gem,3,2,200
MALUNGA MOYIE A,West Gem,6,4,500
MALUNGA MOYIE B,West Gem,5,2,101
MALUNGA MOYIE C,West Gem,3,1,100
MALUNGA TEACHERS WOMEN,West Gem,8,7,700
MALWA,North Gem,4,4,900
MALWEWA B MUUNGANO GROUP,North Uyoma,3,2,200
MALWEWA M A,North Uyoma,1,1,100
MAMA ESTHER SHG,Wangchieng,10,1,100
MAMA LUCY,Siaya Township,1,1,100
MAMA NANCY,Siaya Township,5,3,500
MAMA OKOA,Waithaka,19,8,800
MAMBA A,West Gem,3,3,300
MAMBA C,West Gem,7,7,700
MAMBO NI MATATU,Sarang'ombe,12,2,200
MAMBOLEO WOMEN,Ukwala,3,1,100
MAMLAKA SHG,Woodley,36,1,400
MANGA,Homa Bay East,9,6,700
MANGA DAM,West Alego,5,2,200
MANGA MOTHER 2,West Alego,11,5,1100
MANGO,North Kamagambo,8,1,1000
MANJWA,Mugumu-Ini,9,2,200
MANOMBA A,West Gem,5,3,300
MANOMBA B,West Gem,10,3,300
MANSODA CATERING,West Sakwa,8,2,200
MANTOIS,Eastleigh South,1,1,100
MANYATTA,Central Kasipul,18,7,700
MANYATTA,Mutu-Ini,18,6,600
MANYWANDA TRADERS,West Uyoma,6,2,300
MAONO DIGITAL,Laini Saba,39,16,2500
MAOTUKO B,Kabuoch North,7,4,400
MAPAMBANO,Riruta,7,4,400
MAPAMBANO SHG,Sarang'ombe,23,7,1100
MAPEMA NDIO BEST,Ugunja,10,5,500
MAPEMA SILK,North Ugenya,6,5,500
MAPERA SHG,Kanyamwa Kosewe,5,2,300
MAPINGA YOUTH,Central Alego,6,2,200
MARAFIKI,Ng'ando,23,15,1630
MARAFIKI PAMOJA,Sigomere,11,7,900
MARAFIKI PAMOJA C,Sigomere,7,3,500
MARAFIKI SHG,Woodley,34,18,2900
MARAM,West Kasipul,11,9,1100
MARAM C,South Kamagambo,30,28,3800
MARANDA BEST LADIES,West Sakwa,9,6,600
MARANYONA FRIENDS,South Sakwa,13,5,500
MARENYO SILK A,Yala Township,3,2,200
MARENYO SILK B,Yala Township,2,1,100
MARENYO SILK C,Yala Township,13,8,900
MARENYO SILK D,Yala Township,6,1,100
MARENYO SILK E,Yala Township,3,1,500
MARENYO SILK F,Yala Township,1,1,200
MARENYO YIE KOD TIM A,East Gem,36,16,1800
MARENYO YIE KOD TIM B,East Gem,11,7,700
MARENYO YIE KOD TIM C,East Gem,8,4,600
MARIDADI,Korogocho,16,2,200
MARIGOINE,Uthiru/Ruthimitu,1,1,100
MARIKO VS 1,Usonga,1,1,100
MARIWA,East Kamagak,31,13,1800
MARIWA,Homa Bay East,31,3,400
MARIWA CEG,Wangchieng,5,5,1100
MARIWA GROUP,North Gem,7,1,100
MARIWA HERA GWENG' GROUP ,Wangchieng,18,7,2100
MARKET K,Karura,3,1,100
MAROCHE STAR,Sigomere,2,1,100
MAROCHE STAR,Ugunja,2,1,100
MAROCHE STARS,Sigomere,4,3,300
MAROON SISTERS SUPPORT,South Sakwa,11,6,560
MARS,Kayole North,37,18,1900
MARS,Kayole South,37,1,100
MASADHI WOMEN,Central Gem,9,1,100
MASALA GOT B,North Uyoma,8,4,400
MASALA MOS MOS,North Uyoma,5,1,100
MASALA MOS MOS,West Uyoma,5,1,100
MASALA MOYIE,North Uyoma,8,6,600
MASANGA A,South Gem,8,3,500
MASANGA B,South Gem,6,4,400
MASANGA C,South Gem,4,4,400
MASANGA D,South Gem,5,4,400
MASANGA SHG,South Sakwa,3,2,200
MASENO FARMERS,North Sakwa,8,4,400
MASENO ORIGINAL WOMEN,North Sakwa,5,2,200
MASHII,Laini Saba,5,1,100
MASHIMONI YOUNG STAR,Laini Saba,3,1,200
MASIKO SHG,Lindi,24,14,1700
MASINDE MOYIE SHG,East Ugenya,2,1,100
MASINDE SHILOW,East Ugenya,7,6,600
MASINDE WOMEN GROUP,North Ugenya,3,3,300
MASKINI HACHOKI,Usonga,7,1,200
MASKINI JEURI,Sidindi,10,7,1000
MASKINI JEURI B,Sidindi,4,4,500
MASOGO,Homa Bay East,3,2,200
MASTERMIND,West Sakwa,2,1,100
MASUMBI CULTURE MIXED FARMING,South East Alego,6,5,500
MASUMBUKO,Lindi,30,3,900
MATAFUTAJI HACHOKI,Lindi,10,1,100
MATAGARO INVASTIMENT SHG,Sarang'ombe,14,5,500
MATENDO GROUP,Lindi,48,2,200
MATERA M STAR,North Uyoma,4,2,200
MATERA MORNING STAR,North Uyoma,4,2,200
MATERA MORNING STAR,West Uyoma,4,1,100
MATHARE 4A FISHERMEN,Ngei,7,3,300
MATHARE CBO,Huruma,7,3,300
MATHARE WOMEN DOMESTIC WORKERS,Huruma,10,6,1500
MATHARE WONDERFUL ,Mlango Kubwa,11,1,100
MATUNDA BRIDGE ,Kayole Central,7,5,600
MATUNDA SHG,Makina,36,15,4100
MAUA KAMNARA,North Sakwa,7,6,1200
MAUNGO FARMERS WG,East Gem,7,1,100
MAUWA,West Kasipul,7,7,700
MAWANGAZA WOODLEY,Woodley,11,5,700
MAWEBA,Ragana-Oruba,2,1,100
MAWIRA PALA,West Uyoma,9,6,600
MAX LADIES,Sarang'ombe,47,13,1900
MAYIENGA WOMEN,North Sakwa,15,9,900
MBAGA KIT MIKAYI,Utalii,3,1,100
MBAGA WIDOWS SHG,North Alego,10,4,500
MBAGA YOUTH,North Alego,8,3,500
MBAK NDALO,North Kamagambo,3,3,300
MBELE  PAMOJA   B,Sidindi,9,9,2600
MBELE DAIMA,Kanyamwa Kosewe,10,5,900
MBELE DAIMA A,North Uyoma,10,7,700
MBELE DAIMA B,North Uyoma,10,3,301
MBELE DAIMA C,North Uyoma,3,2,200
MBELE PAMOJA,Yala Township,18,3,300
MBESE ROMRE,West Uyoma,4,2,200
MBESE WOMEN GROUP,West Sakwa,7,2,200
MBITA LUO COUNCIL OF ELDERS,Gembe,1,1,100
MBORA,Central Kasipul,6,4,700
MC5_2,Pumwani,3,1,200
MCC/AA ELDERS ASSOCIATION,Imara Daima,1,1,100
MEGA RIDERS,North Ugenya,20,7,900
MEGA RIDERS B,North Ugenya,3,1,100
MEGA RIDERS C,North Ugenya,4,2,200
MEGA RIDERS D,North Ugenya,3,2,300
MEGA STARS,Kanyamwa Kosewe,2,1,300
MEGASTAR,Central Kamagambo,3,1,100
MEGASTARS,Gem West,1,1,100
MELAWA,Mlango Kubwa,1,1,100
MEMBA SHG,West Asembo,2,1,100
MEN AND WOMEN,Mlango Kubwa,11,6,700
MEN AND WOMEN SACCO A,West Alego,7,3,400
MERCY,Siaya Township,11,8,1300
MERCY 2,Siaya Township,5,3,300
MFANGANO EAST WIDOWS,Mfangano Island,7,4,500
MIDIKA A SHG,West Yimbo,14,13,1301
MIDIKA B SHG,West Yimbo,9,8,800
MIFUANA SUPPORT,South Sakwa,2,1,100
MIG MIT A,North Uyoma,6,4,400
MIG MIT B,North Uyoma,1,1,100
MIGIGO KONA LEGIO,West Sakwa,11,5,500
MIGINGO,North Kamagambo,4,2,200
MIGINGO MARKET,West Uyoma,8,6,600
MIGOGO WOMEN,South Gem,8,7,800
MIGONO ADULTS,South Sakwa,7,1,100
MIGONO STARS,South Sakwa,5,2,200
MIGORI RACHUONYO 3,Suna Central,5,1,100
MIGWA YOUTH G,Central Kasipul,5,3,300
MIKAYI A,West Alego,6,5,440
MIKAYI B,West Alego,8,6,600
MIKONO HAITOSHANI,Sarang'ombe,10,6,1200
MILANDO SHG,Kanyamwa Kosewe,5,1,100
MILENA A,Yala Township,5,3,300
MILENA B,Yala Township,8,6,600
MILENA C,Yala Township,7,3,300
MILESTONE,North Ugenya,2,2,400
MILIMANI BIRO CHANDI TOK CHANDA SHG,Nyalenda A,6,1,100
MILKAN,Mountain View,4,4,600
MILLENIUM POULTRY A,East Gem,7,4,400
MIND SET 3,Ugunja,5,1,100
MIND SET 5,Ugunja,6,3,300
MIND SET 5B,Ugunja,10,6,600
MIND SET S,Ugunja,1,1,200
MINDADHO WELFARE,West Sakwa,23,1,100
MINE MOBOLORE,Central Sakwa,6,3,300
MINE MOCHICH,Central Kamagambo,3,1,200
MINE MOYIE,North Ugenya,7,3,400
MINE NYALO,Central Sakwa,31,1,200
MINE NYALO,Siaya Township,31,7,900
MINE NYALO,Sigomere,31,6,900
MINE NYALO,West Gem,31,1,200
MINE NYALO C.,Ugunja,4,1,100
MINE NYALO WOMEN,West Karachuonyo,2,1,100
MINE WANYALO SHG,South Sakwa,7,3,300
MINTO KIANDA,Sarang'ombe,35,12,2200
MINTO PAMOJA SHG,Sarang'ombe,36,13,1300
MINYA OD LIECH,South Sakwa,7,4,400
MIRACLE GROUP,Bukira Central/Ikerege,2,1,200
MIRANDO MOYIE,West Uyoma,1,1,100
MIRIU,Kabondo East,7,7,700
MIRO BIMOS WELFARE,North Gem,6,4,400
MIROGI KOSEWE DISABILITY,Kanyamwa Kosewe,3,2,200
MISADHI,Central Kamagambo,4,1,100
MISAMBI UMOJA,Kabondo East,8,5,700
MISAMBI UMOJA SHG,Kabondo East,2,2,200
MISITA GROUP,West Karachuonyo,11,4,400
MISMES ETEKO NDIWO,West Alego,1,1,100
MIT MEDA,Kabondo West,1,1,300
MITURI LUCKY,North Uyoma,8,1,200
MITURI PATHWAY,North Uyoma,8,3,400
MIWER ABEDO,Central Alego,1,1,100
MIYA TA MIYI,North Uyoma,7,6,600
MIYARA WOMEN,Central Alego,1,1,100
MIYARE COMMUNITY  FORUM,North Ugenya,11,7,1300
MJB,Karura,10,7,700
MLA CHAKE GROUP,Sarang'ombe,5,2,600
MLA JASHO CBO,Lindi,28,12,1300
MLACHAKE HACHOKI,East Gem,6,3,300
MLIMA CALVARY,Wiga,2,1,100
MLIMANI,South Kanyamkago,3,2,200
MLIMANI SHG,Siaya Township,8,5,500
MOCHWINY GROUP ,Ukwala,1,1,300
MOGEN,Gem West,5,3,400
MOHAD A,East Kamagambo,4,1,100
MOHER SHG,South East Alego,3,2,200
MOKUA,Hospital,5,3,500
MOLMOS,Kagan,2,1,100
MOLMOS A,East Kanyamkago,7,5,500
MOLMOS A,South Kanyamkago,7,1,100
MOLMOS B,East Kanyamkago,1,1,100
MON MOTANG KOPONDI,Central Alego,3,1,100
MON TEMO,Central Seme,6,1,2
MONAKINA SHG,Laini Saba,11,1,200
MOND KAILA NYALO,North Seme,8,2,101
MOND LIETE PALA  B,Yimbo East,1,1,100
MOND LIETE PALA C,Yimbo East,4,3,320
MONDAY PROGRESIVE B,West Alego,14,9,900
MOON SOON SAVERS ,Kwa Njenga,15,11,1010
MOONLIGHT,Makina,20,9,1800
MOONLIGHT B,East Ugenya,5,2,200
MOONLIGHT C YOUTH GROUP,East Ugenya,1,1,100
MOONLIGHT C YOUTH GROUP 2,East Ugenya,7,4,500
MOONLIGHT GINGA,West Uyoma,6,3,500
MORNIG STARS,Kabondo West,14,12,1500
MORNING GROUP,West Yimbo,7,1,300
MORNING STAR,Dandora Area I,24,5,600
MORNING STAR,West Uyoma,24,6,600
MORNING STAR A,East Gem,7,3,300
MORNING STAR B,East Gem,3,3,400
MOS MOS E WUOTH,South Gem,9,6,900
MOS MOS E WUOTH OWIMBI,West Uyoma,6,2,200
MOS MOS EWUOTH A,West Sakwa,8,3,300
MOS MOS MASALA,North Uyoma,6,4,400
MOS NDHERE,North Uyoma,2,2,200
MOSMOS ETEKO NDIWO,North Ugenya,4,1,100
MOSMOS ETEKO NDIWO,West Alego,4,3,300
MOSMOS TOTEE,Sidindi,1,1,100
MOSOGO PROGRESSIVE,South East Alego,11,5,500
MOUNT OLIVE,Sigomere,10,1,100
MOVE ON B,South Gem,5,4,400
MOVE ON C,South Gem,8,6,700
MOVE ON E,South Gem,9,2,200
MOVING TOGETHER ,Lindi,11,10,1000
MOYALE SUPPORT,Lindi,26,8,1300
MOYALE SUPPORT,Sarang'ombe,26,1,200
MOYIE APATE,West Alego,9,3,400
MOYIE SHG,Central Sakwa,15,1,100
MOYIE SHG,South East Alego,15,2,200
MOYIE SHG,Wangchieng,15,3,300
MOYIE SUPPORT,Lambwe,5,3,300
MOYIE TO YOT SHG,Wangchieng,5,1,100
MPYA,Gem West,1,1,100
MPYA SHG,Wangchieng,5,1,100
MR. BEAN STAR A.,Nairobi South,1,1,100
MRCC,Matopeni/Spring Valley,9,5,1500
MRIENGO B,Central Alego,6,3,300
MRIENGO WOMEN,Central Alego,1,1,100
MSAMARIA MWEMA,Sarang'ombe,6,2,200
MSAMARIA WOMEN B,East Gem,5,3,300
MSCHWO,Mabatini,55,16,7600
MSETO SHG,Laini Saba,138,57,6100
MSETO SHG,Lindi,138,3,400
MSHG/Mentors ,Eastleigh South,1,1,100
MTAFUTAJI HACHOKI,Lindi,84,8,1300
MUGANE ENT A,West Yimbo,1,1,100
MUGANE ENT. A,Yimbo East,7,6,600
MUGANE ENT. B,Yimbo East,10,8,1000
MUGOYE,North Ugenya,5,3,300
MUGUMOINI,Waithaka,24,14,4200
MUGUNA MOYIE A,Yimbo East,10,8,900
MUGUNA MOYIE B,Yimbo East,9,6,1700
MUGUNA MOYIE C,Yimbo East,8,5,1400
MUGUNA MOYIE D,Yimbo East,1,1,100
MUHANDA,West Alego,4,2,200
MUKUMU UPENDO,Waithaka,12,1,100
MUKUYUN,Riruta,2,2,200
MULAH FUTRO,Siaya Township,14,14,1600
MULAHA FUTRO B,Siaya Township,5,4,400
MULAHA FUTURE,Usonga,2,2,200
MULAMBO WOMEN GRP,Usonga,9,9,1200
MULEMBE,Waithaka,24,10,2300
MULINA S.H.G,Laini Saba,31,3,500
MULIRO GARDEN DEVELOPMENT ORG,Laini Saba,25,3,400
MULTIVISION,Lindi,22,6,1400
MULTIVISION,Sarang'ombe,22,3,800
MUMBO CLUB,West Kasipul,6,2,200
MUMBO WOMEN,God Jope,3,1,100
MUMIAS,Nyayo Highrise,24,5,600
MUMIAS JIENDELEZE,Mutu-Ini,2,1,100
MUNG'AO ORGANIC,Sigomere,5,4,700
MUNGU ANAWEZA,East Ugenya,6,3,400
MUOK RATEGO,East Gem,6,5,600
MURONGO WOMEN SHG,Mfangano Island,2,1,100
MURUMBA,East Ugenya,4,2,200
MURUMBA WOMEN,North Alego,10,8,1000
MUSUJU,West Ugenya,1,1,100
MUSUJU WOMEN GROUP,North Ugenya,1,1,100
MUTEGO AGED,Mutu-Ini,18,11,1100
MUTUINI STARS,Mutu-Ini,5,4,400
MUTUMBU KONYRI KENDI,North Gem,18,11,1200
MUUNGANO,Sigomere,2,1,100
MUUNGANO  DISABLED,Riruta,9,2,200
MUUNGANO B.,Sigomere,5,3,400
MUUNGANO DISABILITY,East Gem,20,10,1000
MWANGAZA,East Gem,19,4,400
MWANGAZA,Kagan,19,1,200
MWANGAZA,Sigomere,19,1,100
MWANGAZA,West Alego,19,5,1100
MWANGAZA A,West Uyoma,3,2,200
MWANGAZA SHG,Masaba,5,4,400
MWANGAZA WOMEN GROUP,Sarang'ombe,9,2,600
MWANGEKA WELFARE SOCIETY,Riruta,1,1,100
MWEITO ABATURI,Masaba,1,1,100
MWENDA POLE,Sidindi,11,5,500
MWENDA POLE AJUKWAYE SHG,Lindi,26,14,1600
MWER ABEDO CBO,Central Alego,1,1,100
MYARA WOMEN,Central Alego,4,3,400
MYDA Group ,Utalii,6,5,600
MYSTICAL ROSE,Wangchieng,11,11,5393
MZABIBU A,East Asembo,4,2,200
MZABIBU C,East Asembo,4,2,200
MZABIBU URADI,West Alego,1,1,100
MZALENDO,Wangchieng,10,2,200
MZALENDO,West Kamagak,10,1,100
MZALENDO WOMEN GROUP,Awasi/Onjiko,2,1,1
Maamuki,Ngei,2,1,100
Mabatini Junction ,Mabatini,17,3,400
Mabs,Ngei,13,5,800
Macedonia Youth Group ,Kariobangi North,19,8,800
Madex,Eastleigh South,2,2,200
Madiwa finest,Eastleigh South,14,9,1400
Maendeleo,Pumwani,10,6,1000
Maendeleo ,Mountain View,10,7,700
Maendeleo 46 SHG,Kawangware,17,5,500
Maendeleo North,Hospital,14,9,900
Maendeleo group ,Pumwani,5,2,200
Mafanikio,Karura,48,3,300
Mafundi,Karura,13,1,100
Magic ladies ,Eastleigh South,1,1,100
Magina welfare ,Gatina,32,12,3900
Mahera ,Mountain View,25,2,200
Mahera C,Kangemi,8,1,100
Mahera C,Mountain View,8,4,500
Mahigaini,Ruai,8,6,700
Mahigaini SHG ,Njiru,6,4,500
Maisha B,Kawangware,11,2,200
Maisha Welfare,Kawangware,28,19,2000
Majirani Youths ,Mowlem,16,10,1402
Majuya,Mathare North,5,1,300
Makao Bora,Kwa Njenga,29,22,2500
Makhonge group,Kamukuywa,1,1,1
Makina traders,Lindi,8,1,100
Makongeni Queen,Harambee,8,4,400
Makongeni Society ,Ruai,14,5,600
Makongeni youth for development,Viwandani,9,1,200
Makongo Rhinos,Kileleshwa,5,1,100
Makutano  Ni  Sisi ,Kwa Njenga,9,4,400
Makutano 5,Nyayo Highrise,11,1,400
Makutano SHG,Nyayo Highrise,19,3,300
Malaika,Ziwani/Kariokor,5,3,500
Malaika SHG,Gatina,10,3,300
Malaika grp ,Ziwani/Kariokor,11,8,1600
Malenge Group ,Lucky Summer,22,1,100
Malewa,Mlango Kubwa,15,8,2200
Malijaromo,Karura,13,3,750
Malili SHG,Nyayo Highrise,40,23,3500
Malkia Angaza,Pumwani,9,5,700
Malo SHG,Gatina,31,17,2000
Mama Idah,Ngei,10,4,600
Mama Mboga,Mathare North,13,2,200
Mama Safi,Utalii,21,7,700
Mama yetu ,Landimawe,10,2,400
Mama zetu CBO,Kariobangi North,11,1,100
Mamki SHG,Kwa Njenga,11,8,800
Mamuki,Hospital,15,6,600
Mandera Progressive ,Utalii,14,7,800
Mango And Friends ,Ngei,1,1,100
Mango Group ,Imara Daima,18,13,1500
Maono,Airbase,27,4,800
Maono,Karen,27,4,400
Maono,Mugumu-Ini,27,10,1200
Mara SHG ,Kabiro,1,1,100
Marafiki Pamoja,Njiru,3,2,200
Maravalt B,Imara Daima,2,1,200
Maravalt self help group,Imara Daima,18,9,1100
Maria goretti dirls,Mwiki,25,14,2100
Maridadi,Embakasi,6,2,600
Maringo 24,Maringo/Hamza,19,3,300
Maringo B,Maringo/Hamza,20,17,2200
Maringo B ,Maringo/Hamza,5,5,500
Maringo C,Maringo/Hamza,8,2,200
Maringo Friends,Maringo/Hamza,20,9,1300
Maringo Ladies Nest ,Makongeni,6,4,400
Maringo Ladies Nest ,Maringo/Hamza,6,2,200
Maringo ladies Nest B,Maringo/Hamza,9,6,600
Marvelous SHG,Nyayo Highrise,18,8,900
Maseno lane,Makongeni,19,12,2400
Mashahidi,Korogocho,5,1,100
Mashamba C,Imara Daima,11,7,700
Mashimoni Iolites,Lindi,11,6,600
Mashujaa Wa Imara,Imara Daima,8,3,700
Mashujaa wa imara ,Imara Daima,1,1,500
Masitsa organisation ,Gatina,9,6,600
Massive Youth ,Pipeline,8,1,100
Matek Nie Puodho,Kware,13,6,800
Mathare  River CBO,Hospital,3,1,100
Mathare  pamoja twaweza ,Hospital,1,1,100
Mathare 1 & 2 ( walemavu),Mlango Kubwa,18,11,1100
Mathare 4A Vision Sisters ,Korogocho,27,1,300
Mathare Focus ,Hospital,4,2,200
Mathare Frontline ,Utalii,21,1,200
Mathare Gitathuru CBO,Ngei,13,12,1200
Mathare One and One,Mlango Kubwa,15,10,4000
Mathare Pamoja Twaweza,Ngei,11,7,700
Mathare Saints Saints ,Mlango Kubwa,11,8,800
Mathare Valley View,Mlango Kubwa,33,20,2000
Mathare Visionary ,Mathare North,40,19,2500
Mathare Visionary 2,Mathare North,5,1,100
Matindi,Gatina,18,4,800
Matingo SHG,Mlango Kubwa,13,5,500
Matopeni United Welfare,Kwa Njenga,7,4,400
Matumaini,Pumwani,11,4,400
Matumaini SHG,Nyayo Highrise,24,13,1300
Mature Ladies ,Korogocho,4,2,200
Maungo and Friends ,Kwa Njenga,17,5,600
Mautuma B,Kabiro,15,5,700
Mautuma Vision,Gatina,35,1,100
Mautuma Vision,Kabiro,35,16,2101
Mavotrac,Utalii,10,1,100
Mavuno Highbridge ,Korogocho,29,4,500
Mawaidha,Ngei,8,4,600
Mawoni Nine Brothers,Pumwani,12,4,500
Mayopeni United welfare association,Kwa Njenga,2,2,200
Maziwa,Eastleigh South,16,14,2000
Maziwa Imara,Imara Daima,13,5,800
Mbaga Kit Mikae,Ngei,12,10,1200
Mbaitu Forum CBO,Eastleigh South,10,4,400
Mbegu Njema ,Kwa Njenga,8,1,100
Mbele Iko Sawa,Hospital,13,8,800
Mbele Iko Sawa,Ngei,13,3,300
Mbite Ngwite Welfare,Kileleshwa,15,1,100
Mbumbere,Gatina,10,5,500
Mbuya,California,14,5,600
Mdavi women,Korogocho,1,1,100
Medi Hope Posttested Women Group ,Mlango Kubwa,6,3,300
Melody Hope,Mlango Kubwa,13,4,900
Members tree,Mowlem,5,4,3000
Men &women,Mlango Kubwa,1,1,100
Men of Valour,Baba Dogo,12,2,200
Mentors,Eastleigh South,27,14,1400
Menya SHG,Kabiro,10,1,100
Mercy And Power,Usonga,13,9,900
Mercy Mission SHG,Gatina,21,10,1400
Messiah,Kasarani,1,1,100
Metropolitan SHG,Kiamaiko,15,1,100
Migingo Dandora,Dandora Area Iv,44,14,1700
Migwani Welfare,Kileleshwa,15,1,100
Milambo,Njiru,16,9,2000
Milele 2,Dandora Area I,15,1,100
Milele 2,Dandora Area Ii,15,4,500
Milele Group,Dandora Area Ii,7,4,400
Milele Group ,Korogocho,14,5,700
Milele Vision,Mlango Kubwa,12,4,500
Milimani,Gatina,51,26,3400
Milimani A ,Kwa Njenga,8,4,400
Milimani B ,Kwa Njenga,10,2,200
Milisca ladies,Wasweta Ii,6,6,600
Millennium ,Utalii,9,6,3900
Millennium group ,Hospital,5,3,300
MinAlek,Mabatini,8,7,700
Mine Nyalo,Utalii,13,4,500
Mine Nyalo B ,Kwa Njenga,15,5,500
Mine Nyalo C ,Kwa Njenga,13,4,400
Mine Nyalo D ,Kware,11,5,500
Mine Nyalo.A,Kwa Njenga,6,2,200
Mingle Masters,Embakasi,12,5,500
Miracle Group,Dandora Area Iv,20,18,1800
Mirror of hope CBO,Sarang'ombe,7,6,1400
Mision group ngei 2,Huruma,1,1,100
Misisipi,California,17,7,700
Misri to Canaan ,Korogocho,21,12,1300
Mjengo Kariadudu,Baba Dogo,13,5,1000
Mkd family,Korogocho,8,2,200
Mkulima Renewed,Kabiro,14,1,100
Mkwano Women 2,Kabiro,11,1,100
Mlachake,Imara Daima,9,7,800
Mlahra,Mabatini,11,2,200
Mlango Action ,Mlango Kubwa,8,8,800
Mmiwa,Eastleigh South,1,1,100
Mochere test,Pipeline,1,1,100
Modern,Lower Savannah,7,6,1100
Modern Welfare ,Kileleshwa,5,2,200
Modern kaliwa,Kwa Njenga,1,1,200
Modern kaliwa ,Kwa Njenga,9,4,400
Mokonyaru,Upper Savannah,7,4,400
Molmos ,East Kanyamkago,9,6,800
Money maters,Hospital,15,2,200
Moon,Upper Savannah,15,9,1000
Moonlight ,Gatina,28,16,1700
Moonlight C,Lindi,3,2,500
Mordern,Mowlem,4,2,600
More Fire,Mutu-Ini,12,1,100
More Fire,Sarang'ombe,12,1,100
More Fire B ,Karura,8,2,600
MoreFire A,Karura,10,1,100
Morning Star ,Nairobi South,10,8,800
Morning Stars ,Utalii,8,6,800
Morningstar ,Kabiro,2,2,500
Mos Mos Yewuoth,Utalii,18,10,2300
Mos mos shg,South Gem,6,6,600
Mosatu,Kwa Reuben,5,4,600
Motomoto Base ,Imara Daima,8,1,100
Move on,South Gem,1,1,100
Movers,Ngei,7,2,200
Moving by action,Viwandani,14,4,400
Moyie,Utalii,10,5,700
Mpambe,Kware,7,3,300
Mravi Group ,Korogocho,4,1,100
Msalaba 46 SHG,Kawangware,20,9,900
Msalendo grp,Ngara,4,2,300
Msingi Imara,Pumwani,13,11,1100
Msingi Imara SHG,Gatina,13,1,100
Mtaani women,Viwandani,4,3,3600
Mugendi,Kayole Central,1,1,100
Mugure Power ,Lucky Summer,10,4,800
Muguree C.C,Lucky Summer,36,16,2100
Muhando,Harambee,26,5,600
Muka,Mabatini,9,6,600
Mukamba Star,Nyayo Highrise,45,34,5200
Mukhwano 1,Kabiro,10,2,200
Mukhwano Disabled SHG,Kwa Njenga,10,3,600
Mukililye SHG,Kwa Reuben,11,1,200
Mukilu,Kwa Reuben,13,12,1300
Mukiwa,Kwa Njenga,13,6,800
Mukulu Welfare ,Kwa Reuben,3,2,200
Mukure Ebenezer,Kasarani,12,1,1200
Mukuru Reli Market,Kwa Njenga,28,10,1100
Mukuru Shofco Men ,Kwa Njenga,20,7,900
Mukuru Soldiers ,Kwa Njenga,13,2,400
Mukwano SHG ,Kwa Njenga,2,1,200
Mulembe SHG,Imara Daima,22,8,800
Mulembe SHG,Kiamaiko,22,1,100
Mums,Pumwani,9,5,500
Mundika,Hospital,5,3,500
Mundika A,Nyayo Highrise,15,10,1800
Muoroto Insiders,Mabatini,7,2,300
Muslim 2020,Kabiro,21,1,100
Mutalia SHG ,Kwa Njenga,22,1,300
Mutarakwa wisdom,Kariobangi South,1,1,100
Mutcen,Lower Savannah,5,4,400
Muthamas family ,Mwiki,1,1,300
Muthura United,Makongeni,6,3,1000
Mutirithia women ,Mwiki,22,21,6700
Muugwavi the Ark,Maringo/Hamza,10,7,900
Muungano,Gatina,21,18,7700
Muungano Shoes SHG,Gatina,6,5,600
Muungano mashimoni,Mabatini,8,1,100
Muungano stars 2,Lower Savannah,8,3,600
Mwalimu,Makongeni,6,3,300
Mwalimu plaza bodaboda,Lucky Summer,13,2,300
Mwamba shg,South Kasipul,2,2,500
Mwamko mpya A,Lindi,10,8,1200
Mwanadhetigs ,Pipeline,1,1,500
Mwanainchi SHG,Dandora Area Iv,28,5,700
Mwandani,Pumwani,9,7,700
Mwanga,Kayole South,5,5,1500
Mwanganza A Shg,Mowlem,13,5,500
Mwangaza,Karura,26,5,1100
Mwangaza  2020,Kwa Njenga,17,13,1700
Mwangaza B,Pipeline,14,6,1000
Mwangaza B shg,Mowlem,11,4,500
Mwangaza CBO,Kware,17,6,600
Mwangaza Development,Kwa Njenga,4,2,200
Mwangaza Hospice,Korogocho,4,3,300
Mwangaza Junction ,Kwa Reuben,16,11,1200
Mwangaza Kasarani,Kasarani,19,9,1230
Mwangaza Ladies,Dandora Area Iv,8,5,700
Mwangaza Mennonite ,Kwa Reuben,5,2,200
Mwangaza Moiye SHG,Mugumu-Ini,17,4,400
Mwangaza SHG,Mowlem,18,1,100
Mwangaza SHG,Nairobi South,18,6,600
Mwangaza Unity,Nyayo Highrise,26,4,500
Mwangaza Vietnam ,Kwa Njenga,13,6,600
Mwangaza Vietnam ,Kware,13,1,100
Mwangaza mbotela,Makongeni,3,2,300
Mwanyangetinge ,Pipeline,7,4,1000
Mwanzo Mpya SHG,Kware,15,10,1100
Mwanzo Wa Musa,Lucky Summer,14,3,700
Mwanzo mpya sisters,Maringo/Hamza,14,1,200
Mwembeni Elders SHG,Mugumu-Ini,1,1,100
Mwendane B,Viwandani,8,5,700
Mwendo,Karura,47,5,500
Mwengenye Neighbours ,Njiru,18,13,1600
Mwer smart ladies,Central Alego,4,2,600
Mwigwithania  SHG,Kwa Njenga,13,10,1200
Mwiitu Mukamba,Dandora Area Iii,6,4,500
Mwingi SGH,Kabiro,9,5,500
Mwithegei,Kahawa,2,2,200
Mwitika Lions ,Gatina,22,2,200
Mworoto A,Kahawa West,9,1,1900
Mzazi,Matopeni/Spring Valley,5,1,100
